"dpto","code","mpio","year","periodo","crop","harvested","prod","yield","NA"
"TOLIMA",73001,"IBAGUE","CAFE",2007,"2007",7945,6840,6156,0.9
"TOLIMA",73283,"FRESNO","CAFE",2007,"2007",7437,6774,10375,1.5315913788013
"TOLIMA",73168,"CHAPARRAL","CAFE",2007,"2007",6971,6173,7654,1.23991576219018
"TOLIMA",73067,"ATACO","CAFE",2007,"2007",6746,5734.1,6958.375,1.21350778674945
"TOLIMA",73624,"ROVIRA","CAFE",2007,"2007",5844,5319,5694,1.07050197405527
"TOLIMA",73504,"ORTEGA","CAFE",2007,"2007",4420,3795,4934,1.30013175230567
"TOLIMA",73616,"RIOBLANCO","CAFE",2007,"2007",4152,3695,4951,1.33991880920162
"TOLIMA",73870,"VILLAHERMOSA","CAFE",2007,"2007",3621,3273,4768,1.45676749159792
"TOLIMA",73043,"ANZOATEGUI","CAFE",2007,"2007",3271,2925,4103,1.40273504273504
"TOLIMA",73675,"SAN ANTONIO","CAFE",2007,"2007",3255,2969,2986,1.00572583361401
"TOLIMA",73236,"DOLORES","CAFE",2007,"2007",3250,2791,2233,0.800071658903619
"TOLIMA",73873,"VILLARRICA","CAFE",2007,"2007",3177,2872,3506,1.22075208913649
"TOLIMA",73226,"CUNDAY","CAFE",2007,"2007",3151,2718,3745,1.37785136129507
"TOLIMA",73352,"ICONONZO","CAFE",2007,"2007",3110,2915,2249,0.771526586620926
"TOLIMA",73024,"ALPUJARRA","CAFE",2007,"2007",2216,2146,2150,1.00186393289842
"TOLIMA",73520,"PALOCABILDO","CAFE",2007,"2007",2138,1907,2660,1.39486103828002
"TOLIMA",73152,"CASABIANCA","CAFE",2007,"2007",1926,1705,2489,1.45982404692082
"TOLIMA",73347,"HERVEO","CAFE",2007,"2007",1505,1357,1942,1.43109801031688
"TOLIMA",73270,"FALAN","CAFE",2007,"2007",1492,1390,1905,1.3705035971223
"TOLIMA",73124,"CAJAMARCA","CAFE",2007,"2007",1246,1083,1035,0.955678670360111
"TOLIMA",73861,"VENADILLO","CAFE",2007,"2007",1212,1047,1478,1.4116523400191
"TOLIMA",73026,"ALVARADO","CAFE",2007,"2007",1122,989,922,0.932254802831143
"TOLIMA",73854,"VALLE DE SAN JUAN","CAFE",2007,"2007",1089,933,1150,1.23258306538049
